K,G,S,CV,NPfix
10.0,0.7,0.01,0.0,1.1905831934456932
10.0,0.7,0.01,0.01,1.1901856796463868
10.0,0.7,0.01,0.1,1.19962546663006
10.0,0.7,0.01,0.5,1.5322048377873771
10.0,0.7,0.01,1.0,1.6245460005147712
10.0,0.7,0.1,0.0,1.1051914556450309
10.0,0.7,0.1,0.01,1.1019071851386282
10.0,0.7,0.1,0.1,1.1145188354812656
10.0,0.7,0.1,0.5,1.4889995680812007
10.0,0.7,0.1,1.0,1.6009631712010868
10.0,0.7,0.5,0.0,0.9111986719203152
10.0,0.7,0.5,0.01,0.9088796215735101
10.0,0.7,0.5,0.1,0.910316107817488
10.0,0.7,0.5,0.5,1.2127652536345743
10.0,0.7,0.5,1.0,1.479048580724784
10.0,0.7,1.0,0.0,0.868912
10.0,0.7,1.0,0.01,0.869208
10.0,0.7,1.0,0.1,0.869172
10.0,0.7,1.0,0.5,0.9262213858888767
10.0,0.7,1.0,1.0,1.2594960701559301
10.0,0.75,0.0,0.0,1.162740425043173
10.0,0.75,0.0,0.01,1.1642266882216332
10.0,0.75,0.0,0.1,1.1706020463289533
10.0,0.75,0.0,0.5,1.4621038588955761
10.0,0.75,0.0,1.0,1.5504513994860838
10.0,0.75,0.01,0.0,1.1533516762475637
10.0,0.75,0.01,0.01,1.150680331997101
10.0,0.75,0.01,0.1,1.1616970054894917
10.0,0.75,0.01,0.5,1.4572478180499333
10.0,0.75,0.01,1.0,1.548492085504532
10.0,0.75,0.1,0.0,1.086544995631492
10.0,0.75,0.1,0.01,1.0855356164134218
10.0,0.75,0.1,0.1,1.0928237145281456
10.0,0.75,0.1,0.5,1.4166085837753346
10.0,0.75,0.1,1.0,1.5262527227830844
10.0,0.75,0.5,0.0,0.925653687913899
10.0,0.75,0.5,0.01,0.9268092664525136
10.0,0.75,0.5,0.1,0.9317484033690763
10.0,0.75,0.5,0.5,1.1721229479276924
10.0,0.75,0.5,1.0,1.4118803481180098
10.0,0.75,1.0,0.0,0.897148
10.0,0.75,1.0,0.01,0.898452
10.0,0.75,1.0,0.1,0.895256
10.0,0.75,1.0,0.5,0.9420564639647305
10.0,0.75,1.0,1.0,1.2215478125782586
10.0,0.8,0.0,0.0,1.1243600533716513
10.0,0.8,0.0,0.01,1.126639796150932
10.0,0.8,0.0,0.1,1.1316986017714052
10.0,0.8,0.0,0.5,1.383925878043525
10.0,0.8,0.0,1.0,1.4693927273465577
10.0,0.8,0.01,0.0,1.1234212629896083
10.0,0.8,0.01,0.01,1.1216647501214496
10.0,0.8,0.01,0.1,1.125081943294213
10.0,0.8,0.01,0.5,1.3752675738695004
10.0,0.8,0.01,1.0,1.4618649550315224
10.0,0.8,0.1,0.0,1.0688046753425462
10.0,0.8,0.1,0.01,1.0649149891447522
10.0,0.8,0.1,0.1,1.0738564528155088
10.0,0.8,0.1,0.5,1.3387003838254292
10.0,0.8,0.1,1.0,1.4429793673863858
10.0,0.8,0.5,0.0,0.9438221575043805
10.0,0.8,0.5,0.01,0.9438696218305028
10.0,0.8,0.5,0.1,0.9460941781712425
10.0,0.8,0.5,0.5,1.1407979536658626
10.0,0.8,0.5,1.0,1.3410964311421738
10.0,0.8,1.0,0.0,0.920828
10.0,0.8,1.0,0.01,0.91844
10.0,0.8,1.0,0.1,0.921064
10.0,0.8,1.0,0.5,0.9588128686004946
10.0,0.8,1.0,1.0,1.1797567401554243
10.0,0.85,0.0,0.0,1.093426515930113
10.0,0.85,0.0,0.01,1.0914323538722768
10.0,0.85,0.0,0.1,1.097458701058926
10.0,0.85,0.0,0.5,1.2954174605501
10.0,0.85,0.0,1.0,1.3709456744669732
10.0,0.85,0.01,0.0,1.0875525933037518
10.0,0.85,0.01,0.01,1.0879326972401764
10.0,0.85,0.01,0.1,1.09335516935605
10.0,0.85,0.01,0.5,1.2912904421085476
10.0,0.85,0.01,1.0,1.3667078459718753
10.0,0.85,0.1,0.0,1.0469957081545065
10.0,0.85,0.1,0.01,1.048761230711923
10.0,0.85,0.1,0.1,1.0533239522864275
10.0,0.85,0.1,0.5,1.260098591881501
10.0,0.85,0.1,1.0,1.3517254529104537
10.0,0.85,0.5,0.0,0.9599763178212396
10.0,0.85,0.5,0.01,0.9577460281266439
10.0,0.85,0.5,0.1,0.9628411693520158
10.0,0.85,0.5,0.5,1.1063806652084998
10.0,0.85,0.5,1.0,1.2668562625903543
10.0,0.85,1.0,0.0,0.944472
10.0,0.85,1.0,0.01,0.9421698843397687
10.0,0.85,1.0,0.1,0.944252
10.0,0.85,1.0,0.5,0.9700763615676157
10.0,0.85,1.0,1.0,1.1392113926759515
10.0,0.9,0.0,0.0,1.059794086045851
10.0,0.9,0.0,0.01,1.058099910279943
10.0,0.9,0.0,0.1,1.0643864133877194
10.0,0.9,0.0,0.5,1.204599353933566
10.0,0.9,0.0,1.0,1.2609686283177388
10.0,0.9,0.01,0.0,1.0556491372226786
10.0,0.9,0.01,0.01,1.0576959009812759
10.0,0.9,0.01,0.1,1.061138356000807
10.0,0.9,0.01,0.5,1.1989857113706832
10.0,0.9,0.01,1.0,1.259707456219141
10.0,0.9,0.1,0.0,1.030510383496601
10.0,0.9,0.1,0.01,1.0312432901064266
10.0,0.9,0.1,0.1,1.0355098155811315
10.0,0.9,0.1,0.5,1.1744333522295993
10.0,0.9,0.1,1.0,1.2475818912442789
10.0,0.9,0.5,0.0,0.9787760049444648
10.0,0.9,0.5,0.01,0.9720413159663328
10.0,0.9,0.5,0.1,0.9763950257732474
10.0,0.9,0.5,0.5,1.0696334825564418
10.0,0.9,0.5,1.0,1.1829268587947888
10.0,0.9,1.0,0.0,0.964832
10.0,0.9,1.0,0.01,0.964528
10.0,0.9,1.0,0.1,0.962352
10.0,0.9,1.0,0.5,0.9817371634198289
10.0,0.9,1.0,1.0,1.0972244382323306
10.0,0.95,0.0,0.0,1.0285763715113656
10.0,0.95,0.0,0.01,1.0291210104957662
10.0,0.95,0.0,0.1,1.0318304250115673
10.0,0.95,0.0,0.5,1.1045315526557242
10.0,0.95,0.0,1.0,1.1387843643220712
10.0,0.95,0.01,0.0,1.0268879883047428
10.0,0.95,0.01,0.01,1.0262019329631915
10.0,0.95,0.01,0.1,1.0281009729876847
10.0,0.95,0.01,0.5,1.1020771724801368
10.0,0.95,0.01,1.0,1.139779474130619
10.0,0.95,0.1,0.0,1.0165129579583536
10.0,0.95,0.1,0.01,1.0155659689004912
10.0,0.95,0.1,0.1,1.0149795235154548
10.0,0.95,0.1,0.5,1.0896038806713093
10.0,0.95,0.1,1.0,1.1305883000991517
10.0,0.95,0.5,0.0,0.9872446989592939
10.0,0.95,0.5,0.01,0.9871867699299133
10.0,0.95,0.5,0.1,0.9884584303465271
10.0,0.95,0.5,0.5,1.0342528051593407
10.0,0.95,0.5,1.0,1.0929863047654458
10.0,0.95,1.0,0.0,0.9831
10.0,0.95,1.0,0.01,0.982768
